department,temp_avg_slope_decade,extreme_heat_slope_decade,precip_slope_decade,mean_yield,coef_temp,coef_precip,coef_extreme_heat,impact_temp_decade,impact_heat_decade,impact_precip_decade,impact_total_decade,impact_pct_decade
Hautes_pyrenees,0.4966857503442047,0.0,-2.3366609478613828e-05,4.500135151515152,-0.27366682967922845,-35.17197913779365,0.0,-0.13592641464354724,0.0,0.0008218499011027769,-0.13510456474244445,-3.0022334928531214
Charente_Maritime,0.4579575559034604,0.3943850267379453,0.00019389050757451245,5.373243360881543,-0.2524320891461195,-70.21486580533825,0.03490862250418479,-0.1156031825769613,0.013767438019697757,-0.013613995970273312,-0.11544974052753684,-2.1486043488749775
Haute_Garonne,0.5130286203986046,0.7118983957219245,-0.0001366576242115925,4.604706666666667,-0.2602345187058216,-79.46441695080455,0.015779811942725624,-0.13350775611174254,0.011233622806820037,0.01085941842985635,-0.11141471487506614,-2.4195833294136606
Charente,0.5035073680673576,0.658422459893019,-0.0002514597549561392,4.878688287975295,-0.3187149307575644,-88.87636645999035,0.04528778650886858,-0.1604753159495114,0.02981849579627913,0.022348829331421204,-0.10830799082181106,-2.2200227690045757
Gironde,0.4338695690593525,0.6016042780748394,0.0004457235759631938,4.348201192533703,-0.2804324528212795,-30.409612885073052,0.04760959639265255,-0.12167110745582572,0.02864213686723622,-0.013554281398791175,-0.1065832519873807,-2.451203319901453
Aude,0.5419514555344488,0.6383689839572115,-0.0002112599739675095,4.276951515151515,-0.09845428032445983,-24.346901481940375,-0.06022021428817511,-0.053357440525437644,-0.0384427170088279,0.005143525773264242,-0.0866566317610013,-2.0261307955914813
Ariege,0.5371772222977736,0.0,-0.00035162377644342476,4.285499393939394,-0.15945213177187614,-20.85776580428335,0.0,-0.08565405323467501,0.0,0.007334086380274638,-0.07831996685440037,-1.8275575295883004
Gers,0.48932203315794565,1.1664438502673486,-0.00017347924266863476,4.597813636363636,-0.20590173945854048,-34.980762951853336,0.016272487663151158,-0.10075225778261063,0.018980943163233968,0.0060684362648585535,-0.07570287835451811,-1.646497321156991
Lot_et_Garonne,0.4855514465168712,1.136363636363591,-4.9016221468754996e-05,4.785155454545456,-0.19355826681506996,-63.56589923663518,0.013611468454428339,-0.09398249643735573,0.015467577789122494,0.0031157601948434742,-0.07539915845338976,-1.5756887977749503
Dordogne,0.5064918778159295,0.772058823529403,-0.0005065889799977411,4.13725696969697,-0.21558644132184043,-25.724430581024627,0.027763913647224917,-0.10919278149675267,0.021435374507048407,0.013031713049063965,-0.0747256939406403,-1.8061651593788606
Lot,0.5225095838148857,0.2673796791443909,-0.000469226069203045,4.04243747968057,-0.16005545992769973,4.108651619678162,0.07211045450792096,-0.08363051175412249,0.019280870189284104,-0.0019278864492263082,-0.0662775280140647,-1.6395436750032775
